TransactionID,Transaction_DateTime,TransactionAmt,card4,card6,Customer_Email,Card_BIN,BIN_Risk_Level,Card_Last4,Customer_Status,Risk_Score,Rule_Triggered,Final_Outcome,Chargeback_Flag,Velocity_Attack_Flag,DeviceType,DeviceInfo,P_emaildomain,isFraud
3108145,2025-01-28 15:15:23,20,visa,credit,amy.lee619@gmail.com,402627,Low,1930,New User,42,,Approved,No,No,desktop,Windows,,0
3391715,2025-04-29 03:43:24,39.394,visa,debit,tom.lim142@hotmail.com,477252,Low,2935,Existing User,36,,Approved,No,No,mobile,Tmovi Build/Vision,hotmail.com,0
3059868,2025-01-19 19:01:08,18.656,visa,credit,jason.lim955@gmail.com,425678,Low,8257,Existing User,25,,Approved,Yes,No,desktop,Windows,gmail.com,1
3451733,2025-05-19 13:09:47,16.231,visa,debit,david.lee993@gmail.com,481249,Low,9946,Existing User,39,,Approved,No,No,mobile,Alcatel_5098O Build/MMB29M,gmail.com,0
3084581,2025-01-23 21:41:15,250,visa,debit,lisa.chan171@bellsouth.net,470743,Medium,9893,New User,52,,Approved,No,No,desktop,MacOS,bellsouth.net,0
3380263,2025-04-25 03:23:26,81.446,visa,credit,alex.wong167@gmail.com,417175,Low,4673,Existing User,24,,Approved,No,No,desktop,Windows,gmail.com,0
3205950,2025-03-01 04:58:02,152.621,visa,debit,anna.lee515@hotmail.com,472022,Low,3570,Existing User,43,,Approved,No,Yes,mobile,0,hotmail.com,0
3482464,2025-05-30 21:10:06,150,visa,credit,david.koh845@gmail.com,452605,Low,6090,Existing User,23,,Approved,No,No,desktop,Windows,gmail.com,0
3058212,2025-01-19 14:33:42,250,visa,credit,alex.teo82@gmail.com,453855,Low,9687,Existing User,37,,Approved,No,No,desktop,Windows,gmail.com,0
3100124,2025-01-26 14:20:40,50,mastercard,debit,anna.lee93@gmail.com,538580,Low,5057,Existing User,28,,Approved,No,No,mobile,Linux x86_64,,0
3083438,2025-01-23 19:18:55,50,visa,credit,anna.lee241@gmail.com,476280,Low,6534,Existing User,18,,Approved,No,No,desktop,Windows,gmail.com,0
2995308,2025-01-03 21:47:33,35,visa,debit,mike.koh382@gmail.com,425331,Low,2774,Existing User,41,,Approved,No,No,mobile,iOS Device,gmail.com,0
2996872,2025-01-04 13:52:31,50,visa,credit,lisa.lee686@gmail.com,478857,Low,2018,New User,44,,Approved,No,No,desktop,MacOS,gmail.com,0
3035447,2025-01-14 05:51:44,25.069,visa,debit,anna.ng645@hotmail.com,473226,Low,1720,Existing User,31,,Approved,No,No,desktop,Windows,hotmail.com,0
3076947,2025-01-22 19:13:28,200,visa,credit,jason.koh684@comcast.net,464724,Low,1457,Existing User,21,,Approved,No,No,desktop,Windows,comcast.net,0
3476177,2025-05-28 16:26:15,50,visa,credit,david.tan674@comcast.net,404898,Low,5813,New User,37,,Approved,No,No,desktop,MacOS,comcast.net,0
3011592,2025-01-08 04:01:32,100,mastercard,debit,amy.ng166@gmail.com,512815,Low,3220,Existing User,34,,Approved,No,No,mobile,SM-N950U Build/NMF26X,gmail.com,0
3509573,2025-06-08 20:59:22,128.617,visa,credit,anna.chan539@hotmail.com,442634,Low,9341,Existing User,27,,Approved,Yes,No,mobile,SAMSUNG SM-G610M Build/MMB29K,hotmail.com,1
3081295,2025-01-23 15:15:33,125,visa,debit,sarah.lee533@outlook.com,420687,Low,7865,New User,38,,Approved,No,No,desktop,MacOS,outlook.com,0
3224388,2025-03-06 21:18:48,125,mastercard,debit,john.ng772@gmail.com,527940,Low,8994,Existing User,28,,Approved,No,No,desktop,Windows,gmail.com,0
3382138,2025-04-25 21:59:55,20.301,visa,debit,jason.lee363@outlook.com,451495,Low,8080,New User,49,,Approved,No,No,mobile,ALE-L23 Build/HuaweiALE-L23,outlook.com,0
3204030,2025-02-28 16:45:35,63.26,visa,debit,david.lee873@gmail.com,441916,Low,4179,Existing User,39,,Approved,No,No,mobile,SM-J510MN Build/MMB29M,gmail.com,0
3520868,2025-06-12 18:57:54,23.608,visa,debit,david.wong798@gmail.com,443313,Medium,7691,New User,61,NEW_USER_RULE,Rejected,No,No,mobile,0,gmail.com,0
3088000,2025-01-24 15:43:13,75,visa,credit,anna.lim589@gmail.com,427731,Low,6990,Existing User,21,,Approved,No,No,desktop,MacOS,gmail.com,0
3449482,2025-05-18 17:43:50,10,mastercard,credit,david.ng676@yahoo.com,537165,Low,3455,Existing User,24,,Approved,No,No,desktop,Windows,,0
3194899,2025-02-25 14:13:14,18.306,visa,credit,lisa.ong735@hotmail.com,466232,Low,3953,Existing User,29,,Approved,No,No,mobile,ZTE BLADE A512 Build/MMB29M,hotmail.com,0
3409660,2025-05-04 20:23:42,250,visa,credit,sarah.wong791@gmail.com,426033,Low,8641,Existing User,36,,Approved,No,No,mobile,iOS Device,gmail.com,0
3311562,2025-04-03 20:05:43,40.481,visa,credit,mike.ong446@hotmail.com,455302,Low,9336,Existing User,49,,Approved,No,No,mobile,0,hotmail.com,0
3535511,2025-06-17 16:55:47,100,visa,debit,tom.wong848@gmail.com,429741,Low,6639,Existing User,39,,Approved,No,No,mobile,SM-G930V Build/NRD90M,gmail.com,0
3013201,2025-01-08 18:40:43,15,mastercard,debit,jason.koh59@me.com,525167,Medium,3329,New User,58,,Approved,No,No,mobile,iOS Device,me.com,0
2989091,2025-01-02 15:35:05,100,visa,credit,amy.ng172@comcast.net,401529,Low,1944,Existing User,19,,Approved,No,No,desktop,rv:57.0,comcast.net,0
3148252,2025-02-09 12:51:15,6,mastercard,debit,amy.tan733@yahoo.com,538258,Low,4216,Existing User,25,,Approved,No,No,desktop,Windows,,0
3040441,2025-01-15 15:30:44,100,visa,debit,david.goh486@gmail.com,419122,Low,2055,Existing User,25,,Approved,No,No,desktop,Trident/7.0,gmail.com,0
2996972,2025-01-04 14:47:07,24.017,visa,credit,john.lim942@yahoo.es,458174,Low,5924,Existing User,32,,Approved,No,No,desktop,0,yahoo.es,0
3334911,2025-04-10 03:15:57,300,visa,credit,john.koh811@gmail.com,429847,Low,6180,Existing User,25,,Approved,No,No,desktop,Windows,gmail.com,0
3525292,2025-06-14 02:47:23,100,visa,debit,david.ong791@aol.com,466361,Low,3542,Existing User,39,,Approved,No,No,mobile,iOS Device,aol.com,0
3446123,2025-05-17 02:53:22,35.781,visa,credit,david.goh450@anonymous.com,471194,Medium,8498,Existing User,54,,Approved,No,No,mobile,HUAWEI VNS-L53 Build/HUAWEIVNS-L53,anonymous.com,0
3070753,2025-01-21 18:02:50,500,mastercard,credit,amy.chan454@anonymous.com,548707,Medium,6050,Existing User,56,,Approved,No,No,desktop,Windows,anonymous.com,0
3069370,2025-01-21 14:24:46,40,visa,credit,alex.ong52@anonymous.com,480643,Low,4153,Existing User,43,,Approved,No,No,desktop,Trident/7.0,anonymous.com,0
3008504,2025-01-07 14:24:46,100,mastercard,credit,david.goh303@anonymous.com,536048,Low,5989,Existing User,41,,Approved,No,No,desktop,rv:11.0,anonymous.com,0
3290635,2025-03-28 22:52:19,58.728,visa,debit,amy.goh36@gmail.com,495471,Low,8088,Existing User,28,,Approved,No,No,desktop,Windows,gmail.com,0
3044248,2025-01-16 06:14:04,50,visa,credit,lisa.goh648@me.com,480710,Low,2171,New User,43,,Approved,No,No,desktop,MacOS,me.com,0
3249150,2025-03-14 22:36:43,150,visa,credit,anna.wong713@cox.net,460763,Low,8766,New User,49,,Approved,No,No,mobile,iOS Device,cox.net,0
3078648,2025-01-22 23:39:53,250,visa,credit,john.ong937@anonymous.com,430758,Medium,1810,New User,68,,Approved,No,No,desktop,MacOS,anonymous.com,0
3307747,2025-04-03 04:50:55,15.951,visa,debit,jason.tan247@hotmail.com,453442,Low,7592,Existing User,43,,Approved,No,No,desktop,0,hotmail.com,0
3001208,2025-01-05 17:18:51,100,visa,credit,jason.tan112@yahoo.com,498498,Low,9799,New User,40,,Approved,No,Yes,desktop,Windows,yahoo.com,0
3347187,2025-04-14 07:29:29,25,visa,credit,jason.tan495@gmail.com,445459,Low,3529,Existing User,27,,Approved,No,No,mobile,E6810,gmail.com,0
3385414,2025-04-27 02:51:33,54.378,visa,credit,tom.teo144@gmail.com,464307,Low,3827,Existing User,28,,Approved,Yes,No,desktop,0,gmail.com,1
3071237,2025-01-21 19:06:35,95.845,visa,debit,lisa.teo287@hotmail.com,420172,Low,6671,Existing User,29,,Approved,No,No,desktop,Windows,hotmail.com,0
3113974,2025-01-30 01:33:45,30,visa,debit,alex.lim361@gmail.com,470404,Low,2540,Existing User,43,,Approved,No,No,mobile,iOS Device,gmail.com,0
3087039,2025-01-24 05:33:02,62.615,visa,credit,sarah.lim76@hotmail.com,431067,Low,1741,Existing User,38,,Approved,No,No,mobile,0,hotmail.com,0
3440441,2025-05-15 00:08:07,6.767,visa,credit,john.lee176@outlook.com,430675,Low,3235,Existing User,20,,Approved,No,No,desktop,Windows,outlook.com,0
3075907,2025-01-22 16:51:01,100,visa,debit,john.lim344@anonymous.com,419195,Medium,9745,New User,69,,Approved,No,No,desktop,Windows,anonymous.com,0
3007568,2025-01-07 01:56:15,41.327,visa,credit,sarah.ong585@gmail.com,496400,Low,7236,Existing User,32,,Approved,No,No,mobile,LG-D693n Build/LRX22G,gmail.com,0
3380019,2025-04-25 01:21:53,33.352,visa,debit,david.koh305@anonymous.com,488217,Low,7762,Existing User,48,,Approved,No,No,desktop,Windows,anonymous.com,0
3284000,2025-03-26 21:39:31,250,american express,credit,amy.teo414@anonymous.com,373457,Medium,4031,Existing User,60,,Approved,No,No,mobile,iOS Device,anonymous.com,0
3014875,2025-01-09 01:16:36,50,visa,credit,amy.chan791@hotmail.com,468191,Low,2881,Existing User,28,,Approved,No,No,mobile,iOS Device,hotmail.com,0
3197358,2025-02-26 04:37:27,32.356,visa,debit,mike.lee762@hotmail.com,453645,Low,2426,Existing User,48,,Approved,No,No,mobile,0,hotmail.com,0
3408868,2025-05-04 17:03:10,100,visa,credit,mike.koh710@hotmail.com,448852,Low,9211,New User,39,,Approved,No,No,desktop,Windows,,0
3391773,2025-04-29 04:16:52,69.483,mastercard,credit,tom.chan617@gmail.com,536854,Low,4702,Existing User,27,,Approved,No,No,mobile,SM-G610M Build/MMB29K,gmail.com,0
3012479,2025-01-08 16:12:15,42.052,visa,credit,john.ong561@gmail.com,447561,Low,7839,Existing User,20,,Approved,No,No,desktop,rv:57.0,gmail.com,0
3526404,2025-06-14 16:17:09,106,mastercard,credit,lisa.ong818@yahoo.com,543411,Low,1241,Existing User,17,,Approved,No,No,desktop,Windows,,0
3277574,2025-03-24 20:39:19,4.229,visa,debit,john.koh419@hotmail.com,454452,Low,3930,Existing User,31,,Approved,No,No,desktop,Windows,hotmail.com,0
3307651,2025-04-03 04:00:34,22.053,mastercard,credit,lisa.koh100@gmail.com,526553,Low,6349,Existing User,18,,Approved,No,No,desktop,Windows,gmail.com,0
3018296,2025-01-09 22:54:30,45.241,mastercard,credit,lisa.chan471@hotmail.com,536975,Medium,3802,New User,56,,Approved,No,No,mobile,0,hotmail.com,0
3210993,2025-03-03 01:04:56,36.735,visa,debit,mike.koh59@hotmail.com,409981,Medium,8228,New User,56,,Approved,No,No,mobile,0,hotmail.com,0
3065609,2025-01-20 19:21:52,18.656,visa,credit,david.chan483@gmail.com,465738,Low,5566,Existing User,22,,Approved,Yes,No,desktop,Windows,gmail.com,1
3120901,2025-01-31 21:58:46,50,visa,debit,tom.tan517@gmail.com,405886,Low,5147,Existing User,26,,Approved,No,No,desktop,MacOS,gmail.com,0
3271811,2025-03-22 20:33:10,8.641,mastercard,debit,alex.koh670@gmail.com,525370,Low,2083,Existing User,26,,Approved,No,No,mobile,M4,gmail.com,0
3112950,2025-01-29 20:56:40,400,mastercard,credit,david.chan375@gmail.com,529081,Low,5537,Existing User,46,,Approved,Yes,No,mobile,LG-K330,gmail.com,1
3057521,2025-01-19 05:10:45,55.56,visa,debit,sarah.koh817@gmail.com,402745,Low,4952,Existing User,26,,Approved,No,No,mobile,PRA-LX3 Build/HUAWEIPRA-LX3,gmail.com,0
3151511,2025-02-10 15:03:38,100,visa,credit,john.chan379@yahoo.com,460090,Low,6677,Existing User,27,,Approved,No,No,desktop,Windows,yahoo.com,0
3518941,2025-06-12 00:53:31,2.846,visa,debit,amy.teo613@gmail.com,465542,Low,2323,New User,49,,Approved,No,No,desktop,0,gmail.com,0
3138918,2025-02-06 05:06:59,20.23,mastercard,credit,david.koh718@gmail.com,557185,Low,3021,Existing User,19,,Approved,No,No,desktop,Windows,gmail.com,0
3323213,2025-04-06 19:27:08,100,visa,credit,lisa.goh407@aol.com,498664,Low,1801,Existing User,18,,Approved,No,No,desktop,Windows,aol.com,0
3281903,2025-03-26 04:45:34,40.959,visa,debit,mike.lim866@hotmail.com,458255,Low,6972,Existing User,25,,Approved,No,No,mobile,PRA-LX3 Build/HUAWEIPRA-LX3,hotmail.com,0
3228317,2025-03-07 23:38:51,52.686,visa,credit,jason.lee660@yahoo.com.mx,467647,Low,1652,Existing User,46,,Approved,No,No,mobile,0,yahoo.com.mx,0
3099431,2025-01-26 07:00:45,35,visa,debit,david.wong13@gmail.com,436572,Low,5557,Existing User,37,,Approved,No,Yes,mobile,iOS Device,gmail.com,0
3442170,2025-05-15 18:29:20,82.691,mastercard,credit,anna.ong473@mail.com,547688,Low,5320,Existing User,22,,Approved,No,No,desktop,Windows,mail.com,0
3384713,2025-04-26 22:23:46,66.22,visa,debit,jason.chan239@hotmail.com,499139,Low,8604,Existing User,45,,Approved,No,Yes,mobile,0,hotmail.com,0
3158492,2025-02-12 21:17:16,130.709,visa,debit,tom.wong806@hotmail.com,448977,Low,5524,New User,43,,Approved,No,No,desktop,Windows,hotmail.com,0
2988778,2025-01-02 14:34:04,50,discover,credit,john.goh534@hotmail.com,636556,Low,9089,New User,33,,Approved,No,No,desktop,Windows,hotmail.com,0
3099617,2025-01-26 09:52:41,100,mastercard,credit,david.ng668@gmail.com,534311,Low,9687,Existing User,40,,Approved,No,No,mobile,iOS Device,gmail.com,0
3368375,2025-04-21 15:01:46,300,visa,credit,john.goh337@gmail.com,423049,Medium,9857,New User,60,HIGH_AMOUNT,Rejected,No,No,mobile,iOS Device,gmail.com,0
3106459,2025-01-27 22:51:30,200,visa,debit,lisa.tan801@icloud.com,461046,Low,4429,Existing User,43,,Approved,No,No,mobile,iOS Device,icloud.com,0
3525771,2025-06-14 13:21:08,64.8,visa,debit,jason.lee140@hotmail.com,440413,Medium,6778,New User,54,,Approved,Yes,No,mobile,0,hotmail.com,1
3567912,2025-06-29 13:22:15,100,visa,credit,sarah.lee495@gmail.com,486643,Low,7415,Existing User,32,,Approved,No,No,mobile,iOS Device,gmail.com,0
3064424,2025-01-20 16:18:13,250,visa,credit,tom.tan624@gmail.com,485632,Low,8761,New User,46,,Approved,No,No,desktop,Trident/7.0,gmail.com,0
3262578,2025-03-19 15:05:02,100,visa,debit,lisa.tan656@anonymous.com,469554,Medium,3557,Existing User,50,,Approved,No,No,desktop,Windows,anonymous.com,0
3039290,2025-01-15 02:48:15,50,mastercard,debit,anna.goh862@yahoo.com,558328,Low,6117,Existing User,27,,Approved,No,No,desktop,Windows,,0
3546741,2025-06-21 16:14:33,63.201,visa,debit,anna.koh203@gmail.com,450220,Low,4679,Existing User,48,,Approved,No,No,mobile,0,gmail.com,0
3062264,2025-01-20 01:13:11,75,visa,credit,tom.tan472@live.com,499475,Low,6980,Existing User,22,,Approved,No,No,desktop,Trident/7.0,live.com,0
3246863,2025-03-14 00:43:40,50,visa,debit,tom.goh955@gmail.com,488442,Low,4627,New User,40,,Approved,No,No,desktop,Windows,,0
3456068,2025-05-20 22:12:25,20.657,mastercard,credit,anna.lim563@gmail.com,557699,Low,6036,Existing User,16,,Approved,No,No,desktop,Moto G (5) Plus Build/NPN25.137-82,gmail.com,0
3246360,2025-03-13 22:43:02,14.993,visa,debit,amy.teo213@gmail.com,474372,Low,2854,Existing User,29,,Approved,No,No,mobile,Ilium LT510 Build/MRA58K,gmail.com,0
3035373,2025-01-14 04:55:27,30,visa,credit,david.lim375@gmail.com,468975,Low,4078,New User,38,,Approved,No,No,desktop,Windows,,0
3375610,2025-04-23 19:59:41,24.41,mastercard,credit,amy.chan597@hotmail.com,551172,Low,6263,Existing User,18,,Approved,No,No,desktop,Windows,hotmail.com,0
3434367,2025-05-12 20:42:33,5.797,visa,debit,lisa.chan707@outlook.com,411942,Low,3019,Existing User,32,,Approved,No,No,desktop,Moto E (4) Build/NMA26.42-69,outlook.com,0
3562797,2025-06-26 23:51:36,75,visa,credit,lisa.lim559@gmail.com,400963,Low,3346,New User,45,,Approved,No,No,mobile,iOS Device,gmail.com,0
3179630,2025-02-19 23:45:50,100,visa,credit,tom.lee773@anonymous.com,455004,Low,7084,Existing User,49,,Approved,No,No,desktop,MacOS,anonymous.com,0
2994138,2025-01-03 17:23:22,74.437,mastercard,debit,john.wong609@gmail.com,510679,Low,9036,New User,43,,Approved,No,No,desktop,Windows,gmail.com,0
3108336,2025-01-28 16:06:02,50,visa,credit,david.koh131@yahoo.com,421448,Low,6318,Existing User,15,,Approved,No,No,desktop,MacOS,yahoo.com,0
3568461,2025-06-29 17:21:05,100,mastercard,credit,anna.ong491@yahoo.com,558878,Low,2489,Existing User,29,,Approved,No,No,desktop,0,,0
3259119,2025-03-18 13:54:10,200,visa,credit,mike.chan359@aol.com,465683,Low,1697,New User,38,,Approved,No,No,desktop,Trident/7.0,aol.com,0
3130238,2025-02-04 00:30:15,24.836,mastercard,credit,amy.ng551@gmail.com,545701,Low,7525,Existing User,40,,Approved,No,No,mobile,0,gmail.com,0
3029198,2025-01-12 20:35:15,50,mastercard,credit,amy.lee490@gmail.com,512494,Low,8660,New User,44,,Approved,No,No,desktop,MacOS,gmail.com,0
3032934,2025-01-13 18:36:45,84.826,mastercard,credit,tom.goh719@hotmail.com,556428,Low,1189,New User,30,,Approved,No,No,desktop,Windows,hotmail.com,0
3082735,2025-01-23 18:00:26,75,visa,debit,tom.tan415@gmail.com,474903,Low,6449,New User,39,,Approved,No,No,desktop,MacOS,gmail.com,0
3237382,2025-03-11 00:03:46,50,discover,credit,john.chan518@gmail.com,629792,Low,4733,New User,30,,Approved,No,No,desktop,Windows,,0
3032240,2025-01-13 16:08:52,100,american express,credit,david.goh471@mac.com,375083,Low,1547,New User,34,,Approved,No,No,desktop,Windows,mac.com,0
3436346,2025-05-13 16:18:45,150,visa,credit,john.chan805@me.com,442479,Low,4058,Existing User,23,,Approved,No,No,desktop,MacOS,me.com,0
3066576,2025-01-20 21:57:54,31.482,visa,credit,david.wong328@hotmail.com,477747,Low,6557,Existing User,25,,Approved,Yes,No,desktop,0,hotmail.com,1
3051490,2025-01-17 20:39:51,200,visa,credit,anna.koh233@yahoo.com,413611,Low,1492,Existing User,34,,Approved,No,No,mobile,iOS Device,yahoo.com,0
3520640,2025-06-12 18:00:45,73.776,visa,credit,lisa.chan452@gmail.com,417192,Low,6486,New User,47,,Approved,Yes,No,mobile,SM-G850M,gmail.com,1
3528399,2025-06-15 03:10:16,30.924,mastercard,credit,david.wong273@hotmail.com,549615,Low,5623,New User,34,,Approved,No,No,desktop,Windows,hotmail.com,0
2987439,2025-01-02 02:02:09,66.885,mastercard,credit,tom.goh60@outlook.com,546556,Low,9528,Existing User,27,,Approved,No,No,mobile,SM-P550 Build/MMB29M,outlook.com,0
3390597,2025-04-28 21:23:50,33.835,visa,debit,tom.lim626@gmail.com,462989,Low,3076,Existing User,27,,Approved,No,No,desktop,SAMSUNG SM-N900W8 Build/LRX21V,gmail.com,0
3462051,2025-05-23 00:11:20,13.71,visa,debit,jason.ong979@hotmail.com,479478,Low,4716,Existing User,30,,Approved,No,No,mobile,5080A Build/MRA58K,hotmail.com,0
3115003,2025-01-30 13:49:05,27.051,visa,debit,anna.tan851@gmail.com,466102,Low,9948,Existing User,36,,Approved,No,No,mobile,XT1563 Build/MPDS24.107-52-5,gmail.com,0
3340432,2025-04-11 22:16:52,125,visa,debit,alex.ong16@gmail.com,441658,Medium,6068,New User,51,,Approved,No,No,mobile,iOS Device,gmail.com,0
3358625,2025-04-17 23:02:52,14.138,visa,debit,sarah.wong688@gmail.com,438546,Medium,4738,New User,68,,Approved,No,No,mobile,0,gmail.com,0
3096432,2025-01-25 21:25:48,50,visa,credit,david.ng847@yahoo.com,455036,Low,4804,Existing User,21,,Approved,No,No,desktop,MacOS,yahoo.com,0
3031773,2025-01-13 14:03:09,61.915,mastercard,credit,lisa.chan838@hotmail.com,527006,Low,2960,Existing User,48,,Approved,No,No,mobile,0,hotmail.com,0
3080505,2025-01-23 12:30:09,100,american express,credit,mike.ong835@anonymous.com,373028,Low,9262,Existing User,47,,Approved,No,No,desktop,Windows,anonymous.com,0
3079975,2025-01-23 04:26:55,60.399,visa,credit,sarah.lim649@gmail.com,404389,Low,6249,Existing User,26,,Approved,No,No,mobile,rv:57.0,gmail.com,0
3185013,2025-02-21 19:51:47,38,mastercard,debit,anna.lee890@hotmail.com,534528,Medium,4646,Existing User,50,,Approved,No,No,mobile,0,,0
3518450,2025-06-11 22:13:56,100,mastercard,credit,david.goh463@yahoo.com,542677,Low,6472,Existing User,36,,Approved,No,No,mobile,iOS Device,yahoo.com,0
3377444,2025-04-24 12:58:59,19.237,mastercard,debit,david.lim915@hotmail.com,511424,Medium,8740,New User,69,,Approved,No,No,mobile,0,hotmail.com,0
3013087,2025-01-08 18:17:22,26.403,mastercard,credit,lisa.lee304@gmail.com,520895,Low,9563,Existing User,30,,Approved,Yes,No,mobile,SM-A720F Build/MMB29K,gmail.com,1
